video_id,published_at,comment
9OADNOhW-Wg,2025-05-30T00:42:32Z,"I felt that first one, like swinging a sledgehammer with no gloves 😂 probably felt that hit throughout his spine"
9OADNOhW-Wg,2025-05-30T00:39:16Z,Respect they ruined a nice ping pong table for a short 🚡
9OADNOhW-Wg,2025-05-30T00:37:45Z,"Alright, try Dodgeball then...."
9OADNOhW-Wg,2025-05-30T00:31:12Z,Straight up copied ngl
9OADNOhW-Wg,2025-05-30T00:30:53Z,Ha… More like a wrecking ball
9OADNOhW-Wg,2025-05-30T00:29:37Z,"*club breaks*
Garrett: ""huh..."""
9OADNOhW-Wg,2025-05-30T00:29:33Z,I’m going pro in football x bowling
9OADNOhW-Wg,2025-05-30T00:25:33Z,Please do open house stereotypes
9OADNOhW-Wg,2025-05-30T00:24:03Z,When your brain’s on vacation but your feed needs a vacation too 😂📱
9OADNOhW-Wg,2025-05-30T00:23:57Z,Love you dude perfect
9OADNOhW-Wg,2025-05-30T00:23:56Z,When don't know what content next to upload 😂
9OADNOhW-Wg,2025-05-30T00:20:17Z,Just the thought that he can hit it with a ping pong paddle and actually send that sucker across is wild
9OADNOhW-Wg,2025-05-30T00:19:49Z,Only real ones know when they used to get mad if any of them said subscribe😢
9OADNOhW-Wg,2025-05-30T00:17:11Z,There is a thumbnail for the short it’s at the very last frame 👀
9OADNOhW-Wg,2025-05-30T00:13:45Z,What about hockey
9OADNOhW-Wg,2025-05-30T00:13:18Z,Imagine volleyball
9OADNOhW-Wg,2025-05-30T00:12:21Z,Cricket lacrosse
9OADNOhW-Wg,2025-05-30T00:10:18Z,do they actually sell the dude perfect bowling ball is so I'll have to buy it! I would love just using that as my spare ball during tournaments and League!
9OADNOhW-Wg,2025-05-30T00:09:14Z,Bowling stereotypes... 🗣🗣🗣🗣🔥🔥🔥🔥
9OADNOhW-Wg,2025-05-30T00:03:18Z,Unoriginal
9OADNOhW-Wg,2025-05-29T23:59:34Z,Very funny😂
9OADNOhW-Wg,2025-05-29T23:58:14Z,"Bro for golf one hole would be a par 100,000"
9OADNOhW-Wg,2025-05-29T23:53:44Z,A bouncing bowling ball? 😂
9OADNOhW-Wg,2025-05-29T23:45:51Z,Please make more!! Lol
9OADNOhW-Wg,2025-05-29T23:42:30Z,Shot put
9OADNOhW-Wg,2025-05-29T23:40:58Z,I can’t stop laughing
9OADNOhW-Wg,2025-05-29T23:37:46Z,Bowling trickshots 2?
9OADNOhW-Wg,2025-05-29T23:35:08Z,real ones know there was once a video that did the same
9OADNOhW-Wg,2025-05-29T23:33:09Z,Hitting the bowling ball with the bat had to be terribly painful 😭
9OADNOhW-Wg,2025-05-29T23:32:15Z,This is 🔥🔥🔥
9OADNOhW-Wg,2025-05-29T23:29:31Z,Remember kids - Only use frozen aluminum softball bats to hit bowling balls. 😈 😂
9OADNOhW-Wg,2025-05-29T23:29:16Z,Please keep this approach for future videos. It's hard to find this combination of detail and simplicity.
9OADNOhW-Wg,2025-05-29T23:27:49Z,"team SCHOOL STEREOTYPES

👇"
9OADNOhW-Wg,2025-05-29T23:19:19Z,School stereotypes!!!
9OADNOhW-Wg,2025-05-29T23:16:40Z,I want to do baseball stereotypes please that would be fire 🔥⚾⚾⚾⚾⚾⚾
9OADNOhW-Wg,2025-05-29T23:14:59Z,How did it go past the net in TT 🤔
9OADNOhW-Wg,2025-05-29T23:14:46Z,Imagine a slam dunk with a bowling ball
9OADNOhW-Wg,2025-05-29T23:14:07Z,"you have answered my life question, but you forgot a sport that would really answer my question: bowling."
9OADNOhW-Wg,2025-05-29T23:12:00Z,Baseball parent stereotypes
9OADNOhW-Wg,2025-05-29T23:11:49Z,Did they just copy the og bowling ball for every sport
9OADNOhW-Wg,2025-05-29T23:10:47Z,"I just want to say this is my fav channel and I have been subscribed to them for 8 years watching every single video. They always make me laugh❤❤❤❤

Sorry for it being so long"
9OADNOhW-Wg,2025-05-29T23:10:44Z,Ties wrist my be broken after he swung at that
9OADNOhW-Wg,2025-05-29T23:10:15Z,Is volleyball players are fried🤦‍♀️
9OADNOhW-Wg,2025-05-29T23:09:52Z,Please do bowling stereotypes
9OADNOhW-Wg,2025-05-29T23:07:30Z,Do gaming Stereotypes please 😄!!
9OADNOhW-Wg,2025-05-29T23:06:14Z,(_8(|)
9OADNOhW-Wg,2025-05-29T23:06:06Z,*facepalms* ugh not the way to go
9OADNOhW-Wg,2025-05-29T23:06:05Z,Don't injured yourself
9OADNOhW-Wg,2025-05-29T23:05:49Z,They should really do a sports stereotypes that would be cool and funny
9OADNOhW-Wg,2025-05-29T23:05:11Z,"GUYS LIKE THIS COMMENT IF YOU WANT BOWLING STEREOTYPES 
PLEASE GUYS IT WOULD BE FIRE!!!!!!❤❤❤🔥🔥🔥🔥🔥🗣️🗣️🗣️"
9OADNOhW-Wg,2025-05-29T23:05:10Z,School stereotypes would be amazing!!!!!!!!!!!!!!!!!!!!!
9OADNOhW-Wg,2025-05-29T23:01:26Z,You should do New Years Stereotypes
9OADNOhW-Wg,2025-05-29T22:58:41Z,"Now do ""if every sport used a dodge ball"" 😂"
9OADNOhW-Wg,2025-05-29T22:58:21Z,"Can we get more bowling content? Other than ""we hit a strike from ____ distance""?"
9OADNOhW-Wg,2025-05-29T22:56:05Z,Thanks for the sponsor in booster thon in schools I have a whole bunch of keychains I’m in Maryland Clarksburg elementary!
9OADNOhW-Wg,2025-05-29T22:47:15Z,Thanks! I never knew!
9OADNOhW-Wg,2025-05-29T22:44:50Z,"Soccer is football 
Football is American football"
9OADNOhW-Wg,2025-05-29T22:44:40Z,Love your work
9OADNOhW-Wg,2025-05-29T22:44:34Z,What about kickball?
9OADNOhW-Wg,2025-05-29T22:43:13Z,"I know where they got the inspiration for this from, it's a short film of the same premise from a few years back that a guy I know worked on"
9OADNOhW-Wg,2025-05-29T22:37:09Z,Comment number 175
9OADNOhW-Wg,2025-05-29T22:37:08Z,they never fail to entertain
9OADNOhW-Wg,2025-05-29T22:36:53Z,Should have cut to Houston jones playing bowling ball lego soccer.
9OADNOhW-Wg,2025-05-29T22:35:25Z,Thad pain from bowing balls is crazy
9OADNOhW-Wg,2025-05-29T22:35:10Z,This is great 😅
